StockCode,Year,Month,AvgPrice,TotalQuantity,TotalRevenue,Transactions,Countries
10125,2010,4,0.85,20,17.0,1,1
10125,2010,5,0.85,20,17.0,1,1
10125,2010,6,0.85,63,53.55,6,1
10125,2010,7,0.85,105,89.25,6,1
10125,2010,9,0.85,65,55.25,5,1
10125,2010,10,0.8499999999999999,98,83.3,11,1
10125,2010,11,0.85,123,104.55000000000001,8,4
10125,2010,12,0.6657142857142857,143,78.55,7,1
10125,2011,1,0.42,160,67.2,7,3
10125,2011,3,0.85,112,95.19999999999999,9,2
10125,2011,4,0.85,82,69.7,6,2
10125,2011,5,0.85,107,90.95,6,2
10125,2011,6,0.85,13,11.049999999999999,2,1
10125,2011,7,0.85,175,148.75,8,2
10125,2011,8,0.85,85,72.25,4,2
10125,2011,9,0.85,210,178.5,4,3
10125,2011,10,0.85,50,42.5,4,2
10125,2011,11,0.85,62,52.7,2,2
10125,2011,12,0.85,26,22.1,2,2
10133,2009,12,0.85,153,130.05,15,2
10133,2010,1,0.8066666666666666,161,117.35,3,2
10133,2010,2,0.85,96,81.6,6,1
10133,2010,3,0.85,35,29.75,7,2
10133,2010,4,0.8283333333333333,45,36.949999999999996,6,1
10133,2010,5,0.8283333333333333,80,66.7,6,1
10133,2010,6,0.85,30,25.5,2,1
10133,2010,7,0.85,52,44.2,5,1
10133,2010,8,0.85,65,55.25,7,1
10133,2010,9,0.85,43,36.55,4,2
10133,2010,10,0.85,104,88.4,11,1
10133,2010,11,0.85,70,59.5,9,1
10133,2010,12,0.7507692307692307,123,78.75,13,2
10133,2011,1,0.5275,90,42.1,4,1
10133,2011,2,0.85,37,31.45,5,2
10133,2011,3,0.85,83,70.55,7,1
10133,2011,4,0.85,75,63.75,2,1
10133,2011,5,0.85,33,28.05,4,1
10133,2011,6,0.44866666666666666,447,200.64000000000001,30,2
10133,2011,7,0.42,662,278.04,31,3
10133,2011,8,0.42000000000000004,630,264.6,21,3
10133,2011,9,0.42000000000000004,193,81.06,5,1
10134,2009,12,1.25,42,52.5,7,1
10134,2010,1,1.2025000000000001,214,229.5,3,2
10134,2010,2,1.25,33,41.25,5,2
10134,2010,3,1.25,64,80.0,8,2
10134,2010,4,1.25,19,23.75,5,1
10134,2010,5,1.25,10,12.5,1,1
10134,2010,6,1.25,17,21.25,3,1
10134,2010,7,1.25,13,16.25,3,1
10134,2010,8,1.1866666666666668,142,152.8,3,1
10134,2010,9,1.25,2,2.5,1,1
10134,2010,10,1.25,28,35.0,5,1
10134,2010,11,1.25,28,35.0,4,1
10135,2009,12,1.25,107,133.75,16,1
10135,2010,1,1.25,48,60.0,8,1
10135,2010,2,1.22625,867,946.95,16,1
10135,2010,3,1.25,100,125.0,11,2
10135,2010,4,1.25,53,66.25,8,1
10135,2010,5,1.2025000000000001,133,147.25,4,2
10135,2010,6,1.25,73,91.25,7,1
10135,2010,7,1.25,53,66.25,5,1
10135,2010,8,1.25,74,92.5,8,1
10135,2010,9,1.25,43,53.75,7,2
10135,2010,10,1.25,83,103.75,16,1
10135,2010,11,1.242962962962963,317,377.25,26,3
10135,2010,12,0.7617647058823529,366,191.9,17,1
10135,2011,1,0.6966666666666667,400,217.8,15,1
10135,2011,2,1.1042857142857143,263,274.15,7,2
10135,2011,3,1.1577777777777778,117,96.45,8,2
10135,2011,4,1.25,30,37.5,5,1
10135,2011,5,1.25,8,10.0,2,1
10135,2011,6,1.25,55,68.75,8,2
10135,2011,7,1.25,177,221.25,9,2
10135,2011,8,1.2025000000000001,151,169.75,4,1
10135,2011,9,1.518888888888889,68,94.68,9,1
10135,2011,10,1.6533333333333333,68,99.52,12,1
10135,2011,11,1.49,165,207.76,16,2
10135,2011,12,1.492,68,94.68,5,1
10138,2009,12,0.42,167,70.14,7,1
10138,2010,1,0.42,13,5.46,2,1
10138,2010,2,0.42,36,15.120000000000001,3,1
10138,2010,3,0.42,13,5.46,2,1
10138,2010,4,0.42,18,7.5600000000000005,2,1
11001,2009,12,1.69,195,329.55,13,2
11001,2010,1,1.69,83,140.27,4,1
11001,2010,2,1.69,17,28.73,2,1
11001,2010,3,1.69,50,84.5,5,1
11001,2010,4,1.6900000000000002,48,81.12,3,1
11001,2010,5,1.6059999999999999,713,1003.37,10,1
11001,2010,6,1.6576923076923078,203,334.67,13,3
11001,2010,7,1.6900000000000002,48,81.12,3,1
11001,2010,8,1.69,214,361.65999999999997,7,3
11001,2010,9,1.69,156,263.64,15,2
11001,2010,10,1.6534782608695653,964,1427.56,23,1
11001,2010,11,1.623888888888889,330,519.62,18,2
11001,2010,12,1.69,65,109.85,5,2
11001,2011,1,1.69,32,54.08,2,2
11001,2011,2,1.69,16,27.04,1,1
11001,2011,3,1.6900000000000002,49,82.81,3,1
11001,2011,4,1.6900000000000002,35,59.15,3,1
11001,2011,5,1.69,96,162.24,5,1
11001,2011,6,1.69,96,162.24,5,2
11001,2011,7,1.69,53,89.57,4,3
11001,2011,8,1.5219999999999998,498,646.74,5,2
11001,2011,9,1.89,79,136.70999999999998,8,2
11001,2011,10,2.223333333333333,112,208.48,11,2
11001,2011,11,1.9185714285714286,101,175.49,7,2
11001,2011,12,2.223333333333333,20,38.6,3,1
15030,2009,12,0.29,10,2.9,1,1
15030,2010,1,0.29,15,4.35,2,1
15030,2010,3,0.29,10,2.9,1,1
15030,2010,4,0.29,10,2.9,1,1
15030,2010,6,0.29,10,2.8999999999999995,2,1
15030,2010,7,0.29,23,6.67,3,1
15030,2010,8,0.29,5,1.45,1,1
15030,2010,9,0.29,25,7.25,2,1
15030,2010,10,0.29,3,0.8699999999999999,1,1
15030,2011,3,0.29,5,1.45,1,1
15030,2011,6,0.29,10,2.9,1,1
15030,2011,7,0.29,89,25.81,4,1
15030,2011,8,0.29,2,0.58,1,1
15030,2011,9,0.29,3,0.8699999999999999,1,1
15030,2011,10,0.29,10,2.9,1,1
15030,2011,11,0.29,22,6.379999999999999,2,1
15030,2011,12,0.29,2,0.58,1,1
15034,2009,12,0.14,74,10.360000000000001,4,1
15034,2010,1,0.14,314,43.96000000000001,3,1
15034,2010,2,0.14,72,10.080000000000002,3,1
15034,2010,3,0.14,180,25.200000000000003,4,1
15034,2010,4,0.14,60,8.400000000000002,2,1
15034,2010,5,0.14,338,47.32000000000001,9,1
15034,2010,6,0.13631578947368422,844,101.36000000000001,19,1
15034,2010,7,0.14,565,79.10000000000001,12,4
15034,2010,8,0.14,193,27.020000000000003,9,2
15034,2010,9,0.14,231,32.34,6,2
15034,2010,10,0.14,84,11.760000000000002,2,1
15034,2010,11,0.14,444,62.160000000000004,8,2
15034,2010,12,0.14,38,5.32,4,1
15034,2011,1,0.14,168,23.520000000000003,1,1
15034,2011,2,0.14,72,10.080000000000002,2,1
15034,2011,3,0.14,120,16.8,5,2
15034,2011,4,0.133,540,58.800000000000004,10,2
15034,2011,5,0.14,816,114.24000000000001,14,1
15034,2011,6,0.12600000000000003,1620,126.00000000000001,10,1
15034,2011,7,0.14,205,28.700000000000003,6,1
15034,2011,8,0.14,108,15.120000000000001,5,1
15034,2011,9,0.14,387,54.18000000000001,13,3
15034,2011,10,0.13000000000000003,1788,166.32000000000002,7,2
15034,2011,11,0.14,557,77.98000000000002,14,1
15036,2009,12,0.6345454545454546,535,306.95,11,2
15036,2010,1,0.65,360,234.00000000000003,14,1
15036,2010,2,0.6542857142857142,433,275.31,14,1
15036,2010,3,0.7108333333333333,1231,762.93,24,2
15036,2010,4,0.7338709677419355,1872,1269.6,31,2
15036,2010,5,0.7324324324324325,2628,1736.04,37,3
15036,2010,6,0.7408695652173912,4127,2753.25,69,5
15036,2010,7,0.7405454545454545,3429,2318.55,55,3
15036,2010,8,0.75,72,54.0,3,1
15036,2010,9,0.75,3,2.25,1,1
15036,2010,10,0.7333333333333333,2880,1920.0,18,3
15036,2010,11,0.743939393939394,1548,1089.0,33,2
15036,2010,12,0.75,132,99.0,10,2
15036,2011,1,0.7316666666666666,912,552.0,12,1
15036,2011,2,0.7404761904761905,2172,1449.0,21,2
15036,2011,3,0.7350000000000001,2912,1986.0,21,3
15036,2011,4,0.8136666666666666,1900,1431.68,30,2
15036,2011,5,0.82,3888,2921.04,51,3
15036,2011,6,0.8197999999999999,3096,2323.08,50,5
15036,2011,7,0.8208333333333333,3384,2544.7200000000003,36,2
15036,2011,8,0.8254166666666666,1212,926.7599999999999,24,2
15036,2011,9,0.8235294117647058,444,363.23999999999995,17,5
15036,2011,10,0.8254166666666666,1212,939.9599999999999,24,2
15036,2011,11,0.83,564,468.11999999999995,26,1
15036,2011,12,0.83,48,39.839999999999996,2,1
15039,2009,12,0.85,39,33.15,6,2
15039,2010,1,0.85,7,5.949999999999999,3,1
15039,2010,2,0.7585714285714286,552,309.2,7,1
15039,2010,3,0.85,118,100.3,10,2
15039,2010,4,0.85,25,21.25,4,2
15039,2010,5,0.85,85,72.25,10,1
15039,2010,6,0.8311764705882352,282,207.7,17,2
15039,2010,7,0.8163157894736842,588,400.59999999999997,19,1
15039,2010,8,0.8209090909090908,205,142.25,11,3
15039,2010,9,0.8144444444444444,357,223.45000000000002,8,3
15039,2010,10,0.69,251,133.35,2,1
15039,2010,11,0.85,79,67.14999999999999,13,1
15039,2010,12,0.85,17,14.45,3,1
15039,2011,1,0.85,18,15.3,3,1
15039,2011,3,0.85,8,6.8,2,1
15039,2011,4,0.85,52,44.2,7,1
15039,2011,5,0.818,574,391.9,10,2
15039,2011,6,0.8209090909090908,405,264.25,11,2
15039,2011,7,0.85,204,173.4,6,1
15039,2011,8,0.85,65,55.25,8,1
15039,2011,9,0.85,56,47.6,6,2
15039,2011,10,0.7433333333333333,112,79.2,3,1
15039,2011,11,0.85,45,38.25,9,1
15039,2011,12,0.85,2,1.7,2,1
15044A,2009,12,2.95,16,47.20000000000001,4,2
15044A,2010,1,2.9500000000000006,19,56.05000000000001,3,1
15044A,2010,2,2.95,19,56.05000000000001,4,1
15044A,2010,3,2.8833333333333337,119,321.45,18,1
15044A,2010,4,2.9250000000000003,281,748.9499999999999,16,3
15044A,2010,5,2.9289473684210527,92,261.8,19,3
15044A,2010,6,2.9000000000000004,3675,9401.25,24,1
15044A,2010,7,2.913636363636364,95,260.25,11,2
15044A,2010,8,2.9500000000000006,24,70.80000000000001,6,1
15044A,2010,9,2.95,7,20.65,2,1
15044A,2010,10,2.85,108,278.59999999999997,4,3
15044A,2010,11,2.95,17,50.150000000000006,5,1
15044A,2010,12,2.95,6,17.700000000000003,1,1
15044A,2011,1,2.9500000000000006,20,59.0,3,1
15044A,2011,2,2.95,9,26.550000000000004,4,1
15044A,2011,3,2.9000000000000004,87,236.65,8,1
15044A,2011,4,2.95,39,115.05000000000001,8,2
15044A,2011,5,2.95,68,200.60000000000002,13,2
15044A,2011,6,2.95,57,168.15,13,2
15044A,2011,7,2.95,50,147.50000000000003,7,2
15044A,2011,8,2.95,19,56.05000000000001,4,2
15044A,2011,9,2.95,29,85.55000000000001,5,1
15044A,2011,10,2.95,3,8.850000000000001,1,1
15044A,2011,11,3.2655555555555558,33,100.19000000000001,9,2
15044A,2011,12,4.37,2,8.74,2,1
15044B,2009,12,2.95,9,26.550000000000004,4,2
15044B,2010,1,2.95,7,20.650000000000002,2,1
15044B,2010,2,2.9500000000000006,20,59.00000000000001,3,1
15044B,2010,3,2.87,27,74.85000000000001,5,1
15044B,2010,4,2.8833333333333333,216,577.1999999999999,12,2
15044B,2010,5,2.926470588235294,104,297.20000000000005,17,5
15044B,2010,6,2.9000000000000004,712,1840.4,24,1
15044B,2010,7,2.926470588235294,121,336.95000000000005,17,2
15044B,2010,8,2.9000000000000004,75,201.25,8,1
15044B,2010,10,2.95,16,47.2,5,2
15044B,2010,11,2.9500000000000006,10,29.500000000000004,3,1
15044B,2010,12,2.95,2,5.9,2,1
15044B,2011,1,2.95,24,70.80000000000001,2,2
15044B,2011,2,2.9500000000000006,14,41.300000000000004,3,1
15044B,2011,3,2.85,68,180.6,4,1
15044B,2011,4,2.95,24,70.80000000000001,7,1
15044B,2011,5,2.9233333333333333,109,301.55,15,2
15044B,2011,6,2.95,35,103.25000000000001,9,2
15044B,2011,7,2.95,25,73.75,4,1
15044B,2011,9,2.95,6,17.700000000000003,2,1
15044C,2009,12,2.95,2,5.9,2,1
15044C,2010,1,2.95,10,29.500000000000004,4,1
15044C,2010,2,2.95,8,23.6,2,1
15044C,2010,3,2.888461538461539,95,255.45,13,1
15044C,2010,4,2.9500000000000006,54,159.3,12,2
15044C,2010,5,2.9214285714285717,82,232.3,14,3
15044C,2010,6,2.927777777777778,102,280.90000000000003,18,1
15044C,2010,7,2.9233333333333333,111,307.45,15,2
15044C,2010,8,2.905555555555556,84,227.8,8,1
15044C,2010,9,2.95,21,61.95000000000001,5,1
15044C,2010,10,2.95,7,20.650000000000002,4,1
15044C,2010,11,2.9500000000000006,15,44.25000000000001,3,1
15044C,2010,12,2.95,7,20.650000000000002,2,1
15044C,2011,2,2.95,8,23.6,2,1
15044C,2011,3,2.8833333333333333,78,210.1,6,1
15044C,2011,4,2.95,9,26.550000000000004,4,1
15044C,2011,5,2.95,31,91.45000000000002,9,1
15044C,2011,6,2.95,39,115.05000000000001,11,1
15044C,2011,7,2.9500000000000006,34,100.30000000000001,6,2
15044C,2011,8,2.9500000000000006,13,38.35000000000001,3,1
15044C,2011,9,2.9500000000000006,29,85.55000000000001,6,2
15044C,2011,10,2.9500000000000006,5,14.750000000000002,3,1
15044C,2011,11,2.9500000000000006,16,47.2,6,1
15044C,2011,12,2.95,2,5.9,2,1
15044D,2009,12,2.95,12,35.400000000000006,5,1
15044D,2010,1,2.95,25,73.75000000000001,4,1
15044D,2010,2,2.85,74,198.3,4,1
15044D,2010,3,2.8576923076923078,107,286.05,13,2
15044D,2010,4,2.9214285714285717,122,339.90000000000003,13,2
15044D,2010,5,2.926470588235294,98,279.5,17,5
15044D,2010,6,2.927777777777778,160,432.0,18,1
15044D,2010,7,2.9078947368421053,183,499.85,18,2
15044D,2010,8,2.9166666666666665,98,269.1,12,1
15044D,2010,9,2.95,13,38.35000000000001,2,1
15044D,2010,10,2.95,18,53.10000000000001,7,2
15044D,2010,11,2.95,5,14.750000000000002,2,1
15044D,2011,1,2.95,32,94.4,4,2
15044D,2011,2,2.95,6,17.700000000000003,1,1
15044D,2011,3,2.85,132,349.4,8,1
15044D,2011,4,2.95,27,79.65,10,1
15044D,2011,5,2.9500000000000006,66,194.70000000000002,12,2
15044D,2011,6,2.95,34,100.30000000000001,8,2
15044D,2011,7,2.9000000000000004,109,293.55,8,2
15044D,2011,8,2.9500000000000006,19,56.05000000000001,3,1
15044D,2011,9,2.892857142857143,100,266.2,7,2
15044D,2011,10,2.8166666666666664,78,201.29999999999998,3,1
15044D,2011,11,3.305,24,73.64000000000001,8,1
15044D,2011,12,2.95,2,5.9,1,1
15056BL,2009,12,5.569565217391305,2185,8632.75,66,5
15056BL,2010,1,5.477631578947369,1105,4414.75,38,4
15056BL,2010,2,5.835714285714285,335,1747.25,34,3
15056BL,2010,3,5.814864864864865,201,1111.95,37,3
15056BL,2010,4,5.902380952380953,147,814.6500000000001,21,3
15056BL,2010,5,5.9,118,642.1,20,2
15056BL,2010,6,5.908333333333334,201,1075.95,24,1
15056BL,2010,7,5.437179487179487,316,1638.2,37,2
15056BL,2010,8,5.836363636363637,477,2538.15,42,2
15056BL,2010,9,5.557843137254902,364,1961.8000000000002,51,5
15056BL,2010,10,5.8982758620689655,679,3596.05,57,5
15056BL,2010,11,5.894444444444445,444,2492.8,70,7
15056BL,2010,12,5.807142857142857,183,1064.8500000000001,28,4
15056BL,2011,1,5.85,189,1004.5500000000001,20,3
15056BL,2011,2,5.95,115,684.25,17,3
15056BL,2011,3,5.95,120,714.0,14,3
15056BL,2011,4,5.950000000000001,65,386.75,13,3
15056BL,2011,5,5.85,195,1040.25,20,5
15056BL,2011,6,5.7595238095238095,141,774.95,21,4
15056BL,2011,7,5.766129032258065,514,2688.1,31,6
15056BL,2011,8,5.819565217391304,215,1153.25,23,4
15056BL,2011,9,5.8656250000000005,259,1470.8500000000001,32,6
15056BL,2011,10,5.994411764705882,548,2880.11,34,5
15056BL,2011,11,5.91875,165,933.7500000000001,32,5
15056BL,2011,12,7.035,70,423.01,6,3
15056N,2009,12,5.462765957446808,1641,5953.95,47,7
15056N,2010,1,5.298076923076923,772,2733.4,26,3
15056N,2010,2,5.7595238095238095,315,1628.25,21,3
15056N,2010,3,5.790909090909091,408,2163.6,44,3
15056N,2010,4,5.81046511627907,609,3203.55,43,4
15056N,2010,5,5.8388888888888895,362,1913.9,36,3
15056N,2010,6,5.794186046511628,629,3290.15,43,2
15056N,2010,7,5.430851063829787,494,2582.1,47,3
15056N,2010,8,5.847435897435898,562,3031.9,39,2
15056N,2010,9,5.8575,391,2136.25,40,4
15056N,2010,10,5.893750000000001,479,2548.85,48,3
15056N,2010,11,5.8403846153846155,464,2473.8,51,6
15056N,2010,12,5.882000000000001,132,724.2,25,5
15056N,2011,1,5.884615384615385,132,744.6,26,3
15056N,2011,2,5.883333333333334,254,1331.3000000000002,30,3
15056N,2011,3,5.841891891891892,472,2484.4,37,3
15056N,2011,4,5.91,172,963.4,25,3
15056N,2011,5,5.8388888888888895,337,1825.15,27,4
15056N,2011,6,5.736111111111111,383,2037.3500000000001,35,4
15056N,2011,7,5.775,684,3562.8,40,5
15056N,2011,8,5.832352941176471,413,2265.35,34,3
15056N,2011,9,6.065641025641026,337,1891.66,38,6
15056N,2011,10,5.878571428571428,269,1528.55,28,4
15056N,2011,11,5.8730769230769235,157,850.15,26,4
15056N,2011,12,5.807142857142857,80,464.0,7,2
15056P,2009,12,5.590909090909091,709,2388.55,11,2
15056P,2010,1,5.95,15,89.25,5,1
15056P,2010,2,5.65,54,297.3,10,1
15056P,2010,3,5.8388888888888895,60,345.0,18,2
15056P,2010,4,5.950000000000001,55,327.25,13,2
15056P,2010,5,5.95,56,333.2,15,5
15056P,2010,6,5.894444444444445,106,570.7,18,1
15056P,2010,7,5.271428571428571,233,1192.3500000000001,28,2
15056P,2010,8,5.859090909090909,93,493.34999999999997,11,2
15056P,2010,9,5.95,23,136.85000000000002,10,3
15056P,2010,10,5.95,68,404.6,23,3
15056P,2010,11,5.83,197,1052.15,24,4
15056P,2010,12,5.8149999999999995,71,357.65,10,4
15056P,2011,1,5.95,15,89.25,6,3
15056P,2011,2,5.95,25,148.75,9,2
15056P,2011,3,5.95,35,208.25,10,3
15056P,2011,4,5.859090909090909,95,505.25000000000006,11,3
15056P,2011,5,5.783333333333334,76,392.20000000000005,6,2
15056P,2011,6,5.95,28,166.60000000000002,8,4
15056P,2011,7,5.793333333333334,143,782.75,15,4
15056P,2011,8,5.95,79,470.05000000000007,11,3
15056P,2011,9,5.95,48,285.6,17,4
15056P,2011,10,5.859090909090909,48,258.6,11,2
15056P,2011,11,6.256111111111111,85,464.26000000000005,18,4
15056P,2011,12,5.95,19,113.05000000000001,3,2
15058A,2010,1,7.95,2,15.9,1,1
15058A,2010,2,7.95,1,7.95,1,1
15058A,2010,3,7.95,3,23.85,2,1
15058A,2010,4,7.95,11,87.45,6,1
15058A,2010,5,5.283333333333333,157,672.15,21,3
15058A,2010,6,6.9944444444444445,77,440.15000000000003,17,3
15058A,2010,7,7.709999999999999,17,123.14999999999999,5,1
15058A,2010,8,7.95,3,23.85,2,1
15058A,2010,12,7.95,1,7.95,1,1
15058A,2011,3,7.95,8,63.6,4,2
15058A,2011,4,7.95,12,95.4,6,2
15058A,2011,5,7.7318181818181815,36,262.2,11,3
15058A,2011,6,7.673076923076923,55,401.25,13,3
15058A,2011,7,7.95,12,95.4,7,1
15058A,2011,8,7.709999999999999,19,139.05,5,3
15058A,2011,9,7.95,2,15.9,2,1
15058A,2011,10,7.95,1,7.95,1,1
15058A,2011,11,7.95,2,15.9,1,1
15058B,2010,1,7.95,2,15.9,1,1
15058B,2010,2,7.95,1,7.95,1,1
15058B,2010,3,7.95,5,39.75,4,1
15058B,2010,4,7.75,20,147.0,6,1
15058B,2010,5,6.2,98,459.1,16,3
15058B,2010,6,7.378571428571428,38,222.1,14,2
15058B,2010,7,7.55,14,99.3,3,1
15058B,2010,8,7.95,2,15.9,2,1
15058B,2010,11,7.95,6,47.7,3,3
15058B,2010,12,7.95,1,7.95,1,1
15058B,2011,1,7.95,3,23.85,1,1
15058B,2011,3,7.95,6,47.7,2,2
15058B,2011,4,7.95,11,87.45,5,1
15058B,2011,5,7.95,22,174.9,11,2
15058B,2011,6,7.709999999999999,42,297.9,10,3
15058B,2011,7,7.95,7,55.650000000000006,3,1
15058B,2011,8,7.75,21,154.95000000000002,6,4
15058B,2011,9,7.95,1,7.95,1,1
15058B,2011,11,7.95,1,7.95,1,1
15058C,2010,1,7.95,2,15.9,1,1
15058C,2010,3,7.95,2,15.9,2,1
15058C,2010,4,7.95,9,71.55,5,2
15058C,2010,5,5.95,66,284.7,8,1
15058C,2010,6,6.616666666666666,92,451.4,15,1
15058C,2010,7,6.235714285714286,45,197.75,7,1
15058C,2010,8,7.95,2,15.9,1,1
15058C,2010,9,7.95,1,7.95,1,1
15058C,2010,11,7.95,1,7.95,1,1
15058C,2011,2,7.95,4,31.8,1,1
15058C,2011,3,6.616666666666667,13,63.35,3,2
15058C,2011,4,7.95,8,63.6,4,1
15058C,2011,5,5.15,84,347.8,10,4
15058C,2011,6,6.35,54,229.3,5,2
15058C,2011,7,5.95,25,118.75,4,1
15058C,2011,8,7.95,4,31.8,2,1
15058C,2011,9,7.95,1,7.95,1,1
15059A,2009,12,3.0,505,1515.0,1,1
15060B,2009,12,3.75,65,243.75,19,3
15060B,2010,1,3.75,50,187.5,13,2
15060B,2010,2,3.75,33,123.75,11,3
15060B,2010,3,3.75,33,123.75,11,2
15060B,2010,4,3.75,54,202.5,14,1
15060B,2010,5,3.75,28,105.0,7,1
15060B,2010,6,3.75,28,105.0,7,2
15060B,2010,7,3.75,61,228.75,15,2
15060B,2010,8,3.75,61,228.75,18,2
15060B,2010,9,3.75,50,187.5,14,2
15060B,2010,10,3.7241935483870967,134,492.9,31,4
15060B,2010,11,3.6657894736842107,129,426.15,19,1
15060B,2010,12,3.75,46,172.5,13,1
15060B,2011,1,3.6700000000000004,38,132.9,10,3
15060B,2011,2,3.75,16,60.0,5,2
15060B,2011,3,3.75,16,60.0,5,1
15060B,2011,4,3.75,3,11.25,2,1
15060B,2011,5,3.75,29,108.75,6,2
15060B,2011,6,3.75,12,45.0,6,1
15060B,2011,7,3.75,43,161.25,11,4
15060B,2011,8,3.6772727272727277,93,300.75,11,2
15060B,2011,9,4.0337499999999995,75,290.33,16,4
15060B,2011,10,4.254444444444444,22,87.03999999999999,9,3
15060B,2011,11,2.95,18,53.1,1,1
16008,2010,3,0.25,36,9.0,2,2
16008,2010,7,0.25,24,6.0,1,1
16008,2010,8,0.25,26,6.5,1,1
16008,2010,9,0.25,24,6.0,1,1
16008,2010,10,0.25,48,12.0,2,1
16008,2010,11,0.25,91,22.75,8,1
16008,2010,12,0.25,14,3.5,2,1
16008,2011,2,0.25,20,5.0,1,1
16008,2011,3,0.25,72,18.0,1,1
16008,2011,4,0.165,264,25.2,2,2
16008,2011,6,0.25,49,12.25,4,1
16008,2011,7,0.12000000000000001,128,15.36,9,1
16008,2011,8,0.12,458,54.96,8,2
