Treatment,Outcome,Year,Month,PreviousQuantity,TimeIndex
1.25,55,2011,6,8.0,18
1.25,177,2011,7,55.0,19
1.2025,151,2011,8,177.0,20
1.518888888888889,68,2011,9,151.0,21
1.653333333333333,68,2011,10,68.0,22
1.49,165,2011,11,68.0,23
1.492,68,2011,12,165.0,24
1.69,17,2010,2,83.0,2
1.69,50,2010,3,17.0,3
1.6900000000000002,48,2010,4,50.0,4
1.606,713,2010,5,48.0,5
1.6576923076923078,203,2010,6,713.0,6
1.6900000000000002,48,2010,7,203.0,7
1.69,214,2010,8,48.0,8
1.69,156,2010,9,214.0,9
1.6534782608695653,964,2010,10,156.0,10
1.623888888888889,330,2010,11,964.0,11
1.69,65,2010,12,330.0,12
1.69,32,2011,1,65.0,13
1.69,16,2011,2,32.0,14
1.6900000000000002,49,2011,3,16.0,15
1.6900000000000002,35,2011,4,49.0,16
1.69,96,2011,5,35.0,17
1.69,96,2011,6,96.0,18
1.69,53,2011,7,96.0,19
1.5219999999999998,498,2011,8,53.0,20
1.89,79,2011,9,498.0,21
2.223333333333333,112,2011,10,79.0,22
1.9185714285714288,101,2011,11,112.0,23
2.223333333333333,20,2011,12,101.0,24
0.14,72,2010,2,314.0,2
0.14,180,2010,3,72.0,3
0.14,60,2010,4,180.0,4
0.14,338,2010,5,60.0,5
0.1363157894736842,844,2010,6,338.0,6
0.14,565,2010,7,844.0,7
0.14,193,2010,8,565.0,8
0.14,231,2010,9,193.0,9
0.14,84,2010,10,231.0,10
0.14,444,2010,11,84.0,11
0.14,38,2010,12,444.0,12
0.14,168,2011,1,38.0,13
0.14,72,2011,2,168.0,14
0.14,120,2011,3,72.0,15
0.133,540,2011,4,120.0,16
0.14,816,2011,5,540.0,17
0.126,1620,2011,6,816.0,18
0.14,205,2011,7,1620.0,19
0.14,108,2011,8,205.0,20
0.14,387,2011,9,108.0,21
0.13,1788,2011,10,387.0,22
0.14,557,2011,11,1788.0,23
0.6542857142857142,433,2010,2,360.0,2
0.7108333333333333,1231,2010,3,433.0,3
0.7338709677419355,1872,2010,4,1231.0,4
0.7324324324324325,2628,2010,5,1872.0,5
0.7408695652173912,4127,2010,6,2628.0,6
0.7405454545454545,3429,2010,7,4127.0,7
0.75,72,2010,8,3429.0,8
0.75,3,2010,9,72.0,9
0.7333333333333333,2880,2010,10,3.0,10
0.743939393939394,1548,2010,11,2880.0,11
0.75,132,2010,12,1548.0,12
0.7316666666666666,912,2011,1,132.0,13
0.7404761904761905,2172,2011,2,912.0,14
0.7350000000000001,2912,2011,3,2172.0,15
0.8136666666666666,1900,2011,4,2912.0,16
0.82,3888,2011,5,1900.0,17
0.8197999999999999,3096,2011,6,3888.0,18
0.8208333333333333,3384,2011,7,3096.0,19
0.8254166666666666,1212,2011,8,3384.0,20
0.8235294117647058,444,2011,9,1212.0,21
0.8254166666666666,1212,2011,10,444.0,22
0.83,564,2011,11,1212.0,23
0.83,48,2011,12,564.0,24
0.7585714285714286,552,2010,2,7.0,2
0.85,118,2010,3,552.0,3
0.85,25,2010,4,118.0,4
0.85,85,2010,5,25.0,5
0.8311764705882352,282,2010,6,85.0,6
0.8163157894736842,588,2010,7,282.0,7
0.8209090909090908,205,2010,8,588.0,8
0.8144444444444444,357,2010,9,205.0,9
0.69,251,2010,10,357.0,10
0.85,79,2010,11,251.0,11
0.85,17,2010,12,79.0,12
0.85,18,2011,1,17.0,13
0.85,8,2011,3,18.0,15
0.85,52,2011,4,8.0,16
0.818,574,2011,5,52.0,17
0.8209090909090908,405,2011,6,574.0,18
0.85,204,2011,7,405.0,19
0.85,65,2011,8,204.0,20
0.85,56,2011,9,65.0,21
0.7433333333333333,112,2011,10,56.0,22
0.85,45,2011,11,112.0,23
0.85,2,2011,12,45.0,24
2.95,19,2010,2,19.0,2
2.8833333333333337,119,2010,3,19.0,3
2.9250000000000003,281,2010,4,119.0,4
2.9289473684210527,92,2010,5,281.0,5
2.9000000000000004,3675,2010,6,92.0,6
2.913636363636364,95,2010,7,3675.0,7
2.9500000000000006,24,2010,8,95.0,8
2.95,7,2010,9,24.0,9
2.85,108,2010,10,7.0,10
2.95,17,2010,11,108.0,11
2.95,6,2010,12,17.0,12
2.9500000000000006,20,2011,1,6.0,13
2.95,9,2011,2,20.0,14
2.9000000000000004,87,2011,3,9.0,15
2.95,39,2011,4,87.0,16
2.95,68,2011,5,39.0,17
2.95,57,2011,6,68.0,18
2.95,50,2011,7,57.0,19
2.95,19,2011,8,50.0,20
2.95,29,2011,9,19.0,21
2.95,3,2011,10,29.0,22
3.265555555555556,33,2011,11,3.0,23
4.37,2,2011,12,33.0,24
2.9500000000000006,20,2010,2,7.0,2
2.87,27,2010,3,20.0,3
2.8833333333333333,216,2010,4,27.0,4
2.926470588235294,104,2010,5,216.0,5
2.9000000000000004,712,2010,6,104.0,6
2.926470588235294,121,2010,7,712.0,7
2.9000000000000004,75,2010,8,121.0,8
2.95,16,2010,10,75.0,10
2.9500000000000006,10,2010,11,16.0,11
2.95,2,2010,12,10.0,12
2.95,24,2011,1,2.0,13
2.9500000000000006,14,2011,2,24.0,14
2.85,68,2011,3,14.0,15
2.95,24,2011,4,68.0,16
2.9233333333333333,109,2011,5,24.0,17
2.95,35,2011,6,109.0,18
2.95,25,2011,7,35.0,19
2.95,6,2011,9,25.0,21
2.95,8,2010,2,10.0,2
2.888461538461539,95,2010,3,8.0,3
2.9500000000000006,54,2010,4,95.0,4
2.921428571428572,82,2010,5,54.0,5
2.927777777777778,102,2010,6,82.0,6
2.9233333333333333,111,2010,7,102.0,7
2.905555555555556,84,2010,8,111.0,8
2.95,21,2010,9,84.0,9
2.95,7,2010,10,21.0,10
2.9500000000000006,15,2010,11,7.0,11
2.95,7,2010,12,15.0,12
2.95,8,2011,2,7.0,14
2.8833333333333333,78,2011,3,8.0,15
2.95,9,2011,4,78.0,16
2.95,31,2011,5,9.0,17
2.95,39,2011,6,31.0,18
2.9500000000000006,34,2011,7,39.0,19
2.9500000000000006,13,2011,8,34.0,20
2.9500000000000006,29,2011,9,13.0,21
2.9500000000000006,5,2011,10,29.0,22
2.9500000000000006,16,2011,11,5.0,23
2.95,2,2011,12,16.0,24
2.85,74,2010,2,25.0,2
2.857692307692308,107,2010,3,74.0,3
2.921428571428572,122,2010,4,107.0,4
2.926470588235294,98,2010,5,122.0,5
2.927777777777778,160,2010,6,98.0,6
2.9078947368421053,183,2010,7,160.0,7
2.9166666666666665,98,2010,8,183.0,8
2.95,13,2010,9,98.0,9
2.95,18,2010,10,13.0,10
2.95,5,2010,11,18.0,11
2.95,32,2011,1,5.0,13
2.95,6,2011,2,32.0,14
2.85,132,2011,3,6.0,15
2.95,27,2011,4,132.0,16
2.9500000000000006,66,2011,5,27.0,17
2.95,34,2011,6,66.0,18
2.9000000000000004,109,2011,7,34.0,19
2.9500000000000006,19,2011,8,109.0,20
2.892857142857143,100,2011,9,19.0,21
2.8166666666666664,78,2011,10,100.0,22
3.305,24,2011,11,78.0,23
2.95,2,2011,12,24.0,24
5.835714285714285,335,2010,2,1105.0,2
5.814864864864865,201,2010,3,335.0,3
5.902380952380953,147,2010,4,201.0,4
5.9,118,2010,5,147.0,5
5.908333333333334,201,2010,6,118.0,6
5.437179487179487,316,2010,7,201.0,7
5.836363636363637,477,2010,8,316.0,8
5.557843137254902,364,2010,9,477.0,9
5.8982758620689655,679,2010,10,364.0,10
5.894444444444445,444,2010,11,679.0,11
5.807142857142857,183,2010,12,444.0,12
5.85,189,2011,1,183.0,13
5.95,115,2011,2,189.0,14
5.95,120,2011,3,115.0,15
5.950000000000001,65,2011,4,120.0,16
5.85,195,2011,5,65.0,17
5.7595238095238095,141,2011,6,195.0,18
5.766129032258065,514,2011,7,141.0,19
5.819565217391304,215,2011,8,514.0,20
5.8656250000000005,259,2011,9,215.0,21
5.994411764705882,548,2011,10,259.0,22
5.91875,165,2011,11,548.0,23
7.035,70,2011,12,165.0,24
5.7595238095238095,315,2010,2,772.0,2
5.790909090909091,408,2010,3,315.0,3
5.81046511627907,609,2010,4,408.0,4
5.8388888888888895,362,2010,5,609.0,5
5.794186046511628,629,2010,6,362.0,6
5.430851063829787,494,2010,7,629.0,7
5.847435897435898,562,2010,8,494.0,8
5.8575,391,2010,9,562.0,9
5.893750000000001,479,2010,10,391.0,10
5.840384615384616,464,2010,11,479.0,11
5.882000000000001,132,2010,12,464.0,12
5.884615384615385,132,2011,1,132.0,13
5.883333333333334,254,2011,2,132.0,14
5.841891891891892,472,2011,3,254.0,15
5.91,172,2011,4,472.0,16
5.8388888888888895,337,2011,5,172.0,17
5.736111111111111,383,2011,6,337.0,18
5.775,684,2011,7,383.0,19
5.832352941176471,413,2011,8,684.0,20
6.065641025641026,337,2011,9,413.0,21
5.878571428571428,269,2011,10,337.0,22
5.873076923076924,157,2011,11,269.0,23
5.807142857142857,80,2011,12,157.0,24
5.65,54,2010,2,15.0,2
5.8388888888888895,60,2010,3,54.0,3
5.950000000000001,55,2010,4,60.0,4
5.95,56,2010,5,55.0,5
5.894444444444445,106,2010,6,56.0,6
5.271428571428571,233,2010,7,106.0,7
5.859090909090909,93,2010,8,233.0,8
5.95,23,2010,9,93.0,9
5.95,68,2010,10,23.0,10
5.83,197,2010,11,68.0,11
5.815,71,2010,12,197.0,12
5.95,15,2011,1,71.0,13
5.95,25,2011,2,15.0,14
5.95,35,2011,3,25.0,15
5.859090909090909,95,2011,4,35.0,16
5.783333333333334,76,2011,5,95.0,17
5.95,28,2011,6,76.0,18
5.793333333333334,143,2011,7,28.0,19
5.95,79,2011,8,143.0,20
5.95,48,2011,9,79.0,21
5.859090909090909,48,2011,10,48.0,22
6.256111111111111,85,2011,11,48.0,23
5.95,19,2011,12,85.0,24
7.95,3,2010,3,1.0,3
7.95,11,2010,4,3.0,4
5.283333333333333,157,2010,5,11.0,5
6.9944444444444445,77,2010,6,157.0,6
7.709999999999999,17,2010,7,77.0,7
7.95,3,2010,8,17.0,8
7.95,1,2010,12,3.0,12
7.95,8,2011,3,1.0,15
7.95,12,2011,4,8.0,16
7.731818181818181,36,2011,5,12.0,17
7.673076923076923,55,2011,6,36.0,18
7.95,12,2011,7,55.0,19
7.709999999999999,19,2011,8,12.0,20
7.95,2,2011,9,19.0,21
7.95,1,2011,10,2.0,22
7.95,2,2011,11,1.0,23
7.95,5,2010,3,1.0,3
7.75,20,2010,4,5.0,4
6.2,98,2010,5,20.0,5
7.378571428571428,38,2010,6,98.0,6
7.55,14,2010,7,38.0,7
7.95,2,2010,8,14.0,8
7.95,6,2010,11,2.0,11
7.95,1,2010,12,6.0,12
7.95,3,2011,1,1.0,13
7.95,6,2011,3,3.0,15
7.95,11,2011,4,6.0,16
7.95,22,2011,5,11.0,17
7.709999999999999,42,2011,6,22.0,18
7.95,7,2011,7,42.0,19
7.75,21,2011,8,7.0,20
7.95,1,2011,9,21.0,21
7.95,1,2011,11,1.0,23
7.95,9,2010,4,2.0,4
5.95,66,2010,5,9.0,5
6.616666666666666,92,2010,6,66.0,6
6.235714285714286,45,2010,7,92.0,7
7.95,2,2010,8,45.0,8
7.95,1,2010,9,2.0,9
7.95,1,2010,11,1.0,11
7.95,4,2011,2,1.0,14
6.616666666666667,13,2011,3,4.0,15
7.95,8,2011,4,13.0,16
5.15,84,2011,5,8.0,17
6.35,54,2011,6,84.0,18
5.95,25,2011,7,54.0,19
7.95,4,2011,8,25.0,20
7.95,1,2011,9,4.0,21
3.75,33,2010,2,50.0,2
3.75,33,2010,3,33.0,3
3.75,54,2010,4,33.0,4
3.75,28,2010,5,54.0,5
3.75,28,2010,6,28.0,6
3.75,61,2010,7,28.0,7
3.75,61,2010,8,61.0,8
3.75,50,2010,9,61.0,9
3.7241935483870967,134,2010,10,50.0,10
3.6657894736842103,129,2010,11,134.0,11
3.75,46,2010,12,129.0,12
3.67,38,2011,1,46.0,13
3.75,16,2011,2,38.0,14
3.75,16,2011,3,16.0,15
3.75,3,2011,4,16.0,16
3.75,29,2011,5,3.0,17
3.75,12,2011,6,29.0,18
3.75,43,2011,7,12.0,19
3.677272727272728,93,2011,8,43.0,20
4.03375,75,2011,9,93.0,21
4.254444444444444,22,2011,10,75.0,22
2.95,18,2011,11,22.0,23
0.25,26,2010,8,24.0,8
0.25,24,2010,9,26.0,9
0.25,48,2010,10,24.0,10
0.25,91,2010,11,48.0,11
0.25,14,2010,12,91.0,12
0.25,20,2011,2,14.0,14
0.25,72,2011,3,20.0,15
0.165,264,2011,4,72.0,16
0.25,49,2011,6,264.0,18
0.12,128,2011,7,49.0,19
0.12,458,2011,8,128.0,20
0.1199999999999999,268,2011,9,458.0,21
0.12,342,2011,10,268.0,22
0.12,941,2011,11,342.0,23
0.12,336,2011,12,941.0,24
0.42,34,2010,2,20.0,2
0.37,1010,2010,3,34.0,3
0.42,120,2010,4,1010.0,4
0.345,4005,2010,6,120.0,6
0.3866666666666666,561,2010,7,4005.0,7
0.395,1040,2010,8,561.0,8
0.37,520,2010,9,1040.0,9
0.36,4160,2010,10,520.0,10
0.42,16,2010,11,4160.0,11
0.4033333333333333,1029,2010,12,16.0,12
0.42,10,2011,1,1029.0,13
0.37,1501,2011,2,10.0,14
0.37,1060,2011,3,1501.0,15
0.42,23,2011,4,1060.0,16
0.395,2771,2011,5,23.0,17
0.37,32,2011,6,2771.0,18
0.42,60,2011,7,32.0,19
0.4057142857142857,2065,2011,8,60.0,20
0.4,1061,2011,9,2065.0,21
0.42,40,2011,10,1061.0,22
0.4,3606,2011,11,40.0,23
0.42,70,2011,12,3606.0,24
0.5,34,2010,2,50.0,2
0.5,10,2010,3,34.0,3
0.5,112,2010,4,10.0,4
0.4533333333333333,120,2010,6,112.0,6
0.5,231,2010,7,120.0,7
0.5,20,2010,8,231.0,8
0.4533333333333333,160,2010,9,20.0,9
0.472,65,2010,10,160.0,10
0.5,35,2010,11,65.0,11
0.5,21,2010,12,35.0,12
0.5,20,2011,1,21.0,13
0.5,101,2011,2,20.0,14
0.5,70,2011,3,101.0,15
0.4649999999999999,303,2011,4,70.0,16
0.5,43,2011,5,303.0,17
0.43,30,2011,6,43.0,18
0.5,24,2011,8,30.0,20
0.5,20,2011,10,24.0,22
0.5,30,2011,11,20.0,23
0.85,32,2010,2,20.0,2
0.8066666666666666,220,2010,3,32.0,3
0.85,96,2010,4,220.0,4
0.85,30,2010,5,96.0,5
0.8066666666666666,60,2010,6,30.0,6
0.83375,401,2010,7,60.0,7
0.85,21,2010,8,401.0,8
0.7849999999999999,50,2010,9,21.0,9
0.8175,44,2010,10,50.0,10
0.85,20,2010,11,44.0,11
0.85,28,2010,12,20.0,12
0.85,40,2011,1,28.0,13
0.8240000000000001,323,2011,2,40.0,14
0.85,70,2011,3,323.0,15
0.85,133,2011,4,70.0,16
0.85,122,2011,5,133.0,17
0.8240000000000001,110,2011,6,122.0,18
0.85,72,2011,7,110.0,19
0.85,65,2011,8,72.0,20
0.85,50,2011,9,65.0,21
0.85,40,2011,10,50.0,22
0.85,140,2011,11,40.0,23
0.85,80,2011,12,140.0,24
0.105,1920,2010,2,1800.0,2
0.12,120,2010,3,1920.0,3
0.0999999999999999,3000,2010,4,120.0,4
0.1114285714285714,3480,2010,5,3000.0,5
0.12,720,2010,6,3480.0,6
0.12,241,2010,7,720.0,7
0.12,960,2010,8,241.0,8
0.12,480,2010,9,960.0,9
0.12,600,2010,10,480.0,10
0.12,720,2010,11,600.0,11
0.12,240,2010,12,720.0,12
0.12,120,2011,1,240.0,13
0.12,480,2011,2,120.0,14
0.42,24,2010,4,24.0,4
0.42,50,2010,6,24.0,6
0.42,1,2010,7,50.0,7
0.06,960,2010,8,1.0,8
0.06,960,2010,9,960.0,9
0.42,1,2010,10,960.0,10
0.12,98,2011,6,1.0,18
0.19,96,2010,2,135.0,2
0.85,1,2010,3,96.0,3
0.19,96,2010,4,1.0,4
0.85,4,2010,5,96.0,5
0.85,12,2010,6,4.0,6
0.85,3,2010,7,12.0,7
0.5933333333333333,4612,2010,8,3.0,8
0.4649999999999999,4620,2010,9,4612.0,9
0.784,129,2010,10,4620.0,10
0.85,79,2010,11,129.0,11
0.85,10,2010,12,79.0,12
0.85,4,2011,2,10.0,14
0.85,7,2011,3,4.0,15
0.85,2,2011,4,7.0,16
0.85,5,2011,5,2.0,17
0.85,1,2011,6,5.0,18
0.85,31,2011,8,1.0,20
0.85,3,2011,10,31.0,22
0.85,1,2011,11,3.0,23
0.85,5,2010,3,24.0,3
0.85,2,2010,4,5.0,4
0.85,27,2010,5,2.0,5
0.85,1,2010,7,27.0,7
0.5933333333333333,5197,2010,8,1.0,8
0.5933333333333334,5193,2010,9,5197.0,9
0.85,123,2010,10,5193.0,10
0.42,24,2010,2,600.0,2
0.27,120,2010,3,24.0,3
0.27,97,2010,4,120.0,4
0.27,120,2010,5,97.0,5
0.42,24,2010,6,120.0,6
0.42,5,2010,7,24.0,7
0.42,48,2010,8,5.0,8
0.12,768,2010,9,48.0,9
0.42,24,2010,10,768.0,10
0.12,96,2010,11,24.0,11
0.42,24,2010,12,96.0,12
0.12,192,2011,3,24.0,15
0.12,96,2011,4,192.0,16
0.42,24,2011,5,96.0,17
0.12,288,2011,6,24.0,18
0.12,144,2011,7,288.0,19
0.12,192,2011,8,144.0,20
0.12,144,2011,9,192.0,21
0.12,209,2011,10,144.0,22
0.12,123,2011,11,209.0,23
0.27,180,2010,2,864.0,2
0.32,432,2010,3,180.0,3
0.12,144,2010,4,432.0,4
0.27,180,2010,5,144.0,5
0.42,120,2010,7,180.0,7
0.42,36,2010,9,120.0,9
0.42,108,2010,11,36.0,11
0.42,36,2011,4,108.0,16
0.195,468,2011,5,36.0,17
0.4105882352941176,1036,2010,2,1225.0,2
0.4156756756756756,1050,2010,3,1036.0,3
0.4168,1075,2010,4,1050.0,4
0.42,350,2010,5,1075.0,5
0.4133333333333333,950,2010,6,350.0,6
0.412,975,2010,7,950.0,7
0.4111111111111111,1225,2010,8,975.0,8
0.415,575,2010,9,1225.0,9
0.4142857142857142,1225,2010,10,575.0,10
0.4127272727272727,750,2010,11,1225.0,11
0.42,225,2010,12,750.0,12
0.42,350,2011,1,225.0,13
0.42,275,2011,2,350.0,14
0.4095652173913043,725,2011,3,275.0,15
0.415,775,2011,4,725.0,16
0.4157894736842105,675,2011,5,775.0,17
0.42,275,2011,6,675.0,18
0.42,350,2011,7,275.0,19
0.42,200,2011,8,350.0,20
0.42,475,2011,9,200.0,21
0.415,900,2011,10,475.0,22
0.41625,475,2011,11,900.0,23
0.42,100,2011,12,475.0,24
0.42,300,2010,2,525.0,2
0.412,597,2010,3,300.0,3
0.42,100,2010,5,597.0,5
0.4179487179487179,1025,2010,6,100.0,6
0.42,425,2010,7,1025.0,7
0.42,475,2010,8,425.0,8
0.42,550,2010,9,475.0,9
0.4175757575757575,1075,2010,10,550.0,10
0.4157894736842105,650,2010,11,1075.0,11
0.42,50,2010,12,650.0,12
0.42,451,2011,1,50.0,13
0.42,400,2011,2,451.0,14
0.42,525,2011,3,400.0,15
0.42,700,2011,4,525.0,16
0.42,400,2011,5,700.0,17
0.417037037037037,1150,2011,6,400.0,18
0.42,750,2011,7,1150.0,19
0.42,625,2011,8,750.0,20
0.42,475,2011,9,625.0,21
0.42,1000,2011,10,475.0,22
0.4157142857142856,525,2011,11,1000.0,23
0.42,150,2011,12,525.0,24
0.42,425,2010,2,700.0,2
0.4168,725,2010,3,425.0,3
0.42,300,2010,4,725.0,4
0.412,250,2010,5,300.0,5
0.415,500,2010,6,250.0,6
0.42,375,2010,7,500.0,7
0.415,701,2010,8,375.0,8
0.42,300,2010,9,701.0,9
0.4142857142857142,750,2010,10,300.0,10
0.4157894736842105,500,2010,11,750.0,11
0.42,100,2010,12,500.0,12
0.42,300,2011,1,100.0,13
0.42,300,2011,2,300.0,14
0.42,325,2011,3,300.0,15
0.42,175,2011,4,325.0,16
0.42,475,2011,5,175.0,17
0.42,200,2011,6,475.0,18
0.42,325,2011,7,200.0,19
0.42,350,2011,8,325.0,20
0.42,325,2011,9,350.0,21
0.4157142857142856,850,2011,10,325.0,22
0.42,300,2011,11,850.0,23
0.42,50,2011,12,300.0,24
0.62,108,2010,3,2.0,3
0.65,12,2010,6,108.0,6
0.05,3744,2010,8,12.0,8
0.05,3744,2010,9,3744.0,9
0.65,5,2011,6,3744.0,18
0.65,3,2011,7,5.0,19
0.65,1,2011,8,3.0,20
0.65,8,2011,9,1.0,21
0.42,27,2010,2,193.0,2
0.3699999999999999,241,2010,3,27.0,3
0.32,24,2010,4,241.0,4
0.42,40,2010,5,24.0,5
0.42,64,2010,6,40.0,6
0.42,12,2010,7,64.0,7
0.42,10,2010,8,12.0,8
0.42,12,2010,9,10.0,9
0.42,26,2010,10,12.0,10
0.42,12,2010,11,26.0,11
0.42,24,2010,12,12.0,12
0.42,30,2011,1,24.0,13
0.42,24,2011,2,30.0,14
0.42,48,2011,4,24.0,16
0.42,24,2011,5,48.0,17
0.42,39,2011,6,24.0,18
0.42,68,2011,7,39.0,19
0.42,20,2011,9,68.0,21
0.42,28,2011,11,20.0,23
0.42,24,2011,12,28.0,24
0.09,374,2010,2,24.0,2
0.42,900,2011,9,325.0,21
0.4183783783783783,1237,2011,10,900.0,22
0.4187755102040816,1625,2011,11,1237.0,23
0.42,376,2011,12,1625.0,24
0.42,75,2010,4,75.0,4
0.42,75,2010,5,75.0,5
0.42,50,2010,6,75.0,6
0.19,875,2010,8,50.0,8
0.3433333333333333,175,2010,9,875.0,9
0.42,175,2010,10,175.0,10
0.42,250,2010,11,175.0,11
0.42,25,2010,12,250.0,12
0.42,100,2011,1,25.0,13
0.42,25,2011,5,100.0,17
0.42,50,2011,9,25.0,21
0.42,125,2010,2,100.0,2
0.42,150,2010,3,125.0,3
0.42,75,2010,4,150.0,4
0.42,50,2010,5,75.0,5
0.42,100,2010,6,50.0,6
0.19,950,2010,8,100.0,8
0.3871428571428571,175,2010,9,950.0,9
0.42,100,2010,10,175.0,10
0.42,50,2010,11,100.0,11
0.42,25,2010,12,50.0,12
0.42,50,2010,2,100.0,2
0.42,200,2010,3,50.0,3
0.42,50,2010,4,200.0,4
0.42,100,2010,5,50.0,5
0.42,75,2010,6,100.0,6
0.42,25,2010,7,75.0,7
0.19,850,2010,8,25.0,8
0.305,50,2010,9,850.0,9
0.42,125,2010,10,50.0,10
0.42,25,2010,11,125.0,11
0.42,50,2010,12,25.0,12
3.75,14,2010,5,2.0,5
1.95,24,2010,6,14.0,6
5.55,3,2010,7,24.0,7
3.7566666666666655,303,2010,8,3.0,8
0.17,300,2010,9,303.0,9
5.55,5,2010,10,300.0,10
5.55,1,2010,11,5.0,11
0.5,3,2011,3,1.0,15
0.5,4,2011,4,3.0,16
1.95,36,2010,4,12.0,4
3.75,32,2010,5,36.0,5
1.95,24,2010,6,32.0,6
5.55,7,2010,7,24.0,7
0.17,444,2010,8,7.0,8
0.17,444,2010,9,444.0,9
5.55,3,2010,10,444.0,10
5.55,2,2010,11,3.0,11
0.5,29,2011,4,2.0,16
3.75,26,2010,3,24.0,3
1.95,28,2010,4,26.0,4
5.55,1,2010,2,12.0,2
1.95,24,2010,3,1.0,3
1.95,12,2010,4,24.0,4
5.55,1,2010,5,12.0,5
5.55,1,2010,10,1.0,10
5.55,1,2010,11,1.0,11
0.5,15,2011,4,1.0,16
2.95,1,2010,7,25.0,7
2.95,1,2010,11,1.0,11
2.95,3,2011,1,1.0,13
2.46,1,2011,8,3.0,20
0.16,20,2010,2,20.0,2
0.16,97,2010,3,20.0,3
0.16,160,2010,4,97.0,4
0.16,80,2010,5,160.0,5
0.16,30,2010,6,80.0,6
0.16,101,2010,7,30.0,7
0.16,22,2010,8,101.0,8
0.16,28,2010,9,22.0,9
0.16,75,2010,10,28.0,10
0.16,176,2010,11,75.0,11
0.16,20,2010,12,176.0,12
0.16,10,2011,2,20.0,14
0.16,35,2011,3,10.0,15
0.15,265,2011,4,35.0,16
0.16,5,2011,5,265.0,17
